dopln0001;Proč z žánrových kategorií zmizel jazz?
dopln0002;A co udělal s prémií osmačtyřicet tisíc dolarů?
dopln0003;Ale probůh, proč by nemělo být?
dopln0004;A proč bychom jim to neumožnili?
dopln0005;A proč by k takovému ovlivnění nemohlo dojít?
dopln0006;Ale proč by nakonec nepřijal tak lákavou nabídku?
dopln0007;A jaká je vůbec historie jeho německého úspěchu?
dopln0008;Na co jsme mysleli, když jsme začali bombardování?
dopln0009;A jak tedy vypadá realita na hřišti?
dopln0010;Jaký je smysl čtyřkoalice?
dopln0011;Ale co je svět Čechovův?
dopln0012;Kde je hřiště?
dopln0013;A co nás vlastně motivuje k dalšímu vzdělávání?
dopln0014;A co říkal na výkon rozhodčích?
dopln0015;Ale co těch sedmdesát devět dalších?
dopln0016;A jaká knížka bude ta příští?
dopln0017;A kde jsou nejlepší útočníci minulého ročníku soutěže?
dopln0018;A co na to řidiči?
dopln0019;Avšak proč dělat věci polovičatě?
dopln0020;Ale kdo ten svět vlastně šéfuje?
dopln0021;Ale k čemu to všechno?
dopln0022;A co je na tom špatného?
dopln0023;A co jsou hlavní vládní hříchy?
dopln0024;A co osobnosti takzvané křižné?
dopln0025;A co si myslí o smíšených manželstvích?
dopln0026;A proč se mám přetvařovat?
dopln0027;A jak že jsme vstoupili na mediální trh?
dopln0028;A na kolik si tak přijdou?
dopln0029;A jakým způsobem se to dá posoudit?
dopln0030;A co hygiena?
dopln0031;A kdo je tam teda generální ředitel?
dopln0032;A co jsem jim přivezl?
dopln0033;A jak to zařídit, aby nevyhrál ten první?
dopln0034;A co na to centrální banka?
dopln0035;A co poslední branka?
dopln0036;Jaké jsou možnosti léčby?
dopln0037;A jak byste dopadl?
dopln0038;A co české banky?
dopln0039;A co konkurs?
dopln0040;A co budou platit po mé smrti?
dopln0041;A čím že to přesně mladý ministr trpí?
dopln0042;A co rychlé pomrkávání?
dopln0043;A co obnáší být členem autoklubu?
dopln0044;A jak dlouho bude tento proces trvat?
dopln0045;Kdopak má tu čest být prvním detektivním autorem?
dopln0046;Jak hodnotíte činnost Koženého v Ázerbájdžánu?
dopln0047;Ale co auta?
dopln0048;Jaký smysl v tom spatřujete?
dopln0049;A proč fouká vítr?
dopln0050;Co se pak děje s hrdostí?
dopln0051;A jak se Novozélanďané o Pekáčkovi dozvěděli?
