dopln0001|$ proW z ZAnrovIx kategoriI zmizel jazz? $
dopln0002|$ !a co !uDelal s prEmiI !osmaCtiRicet TisIw dolarU? $
dopln0003|$ !ale probUh, # proW bi nemJelo bIt? $
dopln0004|$ !a proW bixom jim to nFmoZJili? $
dopln0005|$ !a proW bi k takovEmu !ovlivJeJI nemohlo dojIt? $
dopln0006|$ !ale proW bi nakonec nepQijal tak lAkavy nabItku? $
dopln0007|$ !a jakA je vUbew historie jeho JemeckEho !Uspjexu? $
dopln0008|$ na co sme misleli, # gdiS sme zaCali bombardovAJI? $
dopln0009|$ !a jak tedi vipadA realita na hRiSTi? $
dopln0010|$ jakI je smisl CtiQkoalice? $
dopln0011|$ !ale co je svjet CexovUv? $
dopln0012|$ gde je hRiSTe? $
dopln0013|$ !a co nAs vlastJe moTivuje g dalSImu vzDelAvAJI? $
dopln0014|$ !a co RIkal na vIkon rozhotCIx? $
dopln0015|$ !ale co Tex sedmdesAd devjed dalSIx? $
dopln0016|$ !a jakA kJISka bude ta pQISTI? $
dopln0017|$ !a gde sy nejlepSI !UtoCJIci minulEho roCJIku syTeZe? $
dopln0018|$ !a co na to RiDiCi? $
dopln0019|$ !afSak proW Delat vjeci poloviCaTe? $
dopln0020|$ !ale gdo ten svjet vlastJe SEfuje? $
dopln0021|$ !ale k Cemu to fSexno? $
dopln0022|$ !a co je na tom SpatnEho? $
dopln0023|$ !a co sy hlavJI vlAdJI hRIxi? $
dopln0024|$ !a co !osobnosTi tagzvanE kQiZnE? $
dopln0025|$ !a co si mislI !o smISenIx manZelstvIx? $
dopln0026|$ !a proC se mAm pQetvaRovat? $
dopln0027|$ !a jag Ze sme fstypili na meDiAlJI trh? $
dopln0028|$ !a na kolik si tak pQijdy? $
dopln0029|$ !a jakIm spUsobem se to dA posyDit? $
dopln0030|$ !a co higiena? $
dopln0031|$ !a gdo je tam teda generAlJI ReDitel? $
dopln0032|$ !a co sem jim pQivezl? $
dopln0033|$ !a jak to zaRIDit, # !abi nevihrAl ten prvJI? $
dopln0034|$ !a co na to centrAlJI baNka? $
dopln0035|$ !a co posledJI braNka? $
dopln0036|$ jakE sy moZnosTi lEWbi? $
dopln0037|$ !a jag biste dopadl? $
dopln0038|$ !a co CeskE baNki? $
dopln0039|$ !a co koNkurs? $
dopln0040|$ !a co budy plaTit po mE smrTi? $
dopln0041|$ !a CIm Ze to pQesJe mladI miJistr trpI? $
dopln0042|$ !a co rixlE pomrkAvAJI? $
dopln0043|$ !a co !obnASI bIt Clenem Ytoklubu? $
dopln0044|$ !a jag dlyho bude tento proces trvat? $
dopln0045|$ gdopak mA tu Cezd bIt prvJIm detekTivJIm Ytorem? $
dopln0046|$ jag hodnoTIte Cinnost koZenEho f !AzerbAjdZAnu? $
dopln0047|$ !ale co Yta? $
dopln0048|$ jakI smisl f tom spatQujete? $
dopln0049|$ !a proC fykA vItr? $
dopln0050|$ co se pag Deje z hrdosTI? $
dopln0051|$ !a jak se novozElanDanE !o pekACkovi dozvjeDeli? $
dopln0052|$ proC vUbec reagoval hrat tag histericki? $
dopln0053|$ proC, # gdiS si bude miJisterstvo svIm zDeleJIm jisto? $
dopln0054|$ !a co ten teD DelA? $
dopln0055|$ !a jaky to !UroveJ mA premiEr na misli? $
dopln0056|$ !a proC majI bIt CeSTI poliTici takto hAjeJi? $
dopln0057|$ co si to dovolujy? $
